geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
49518,en,AF,Africa,RW,Rwanda,,,,,,,Africa/Kigali,0
49747,en,AF,Africa,SO,Somalia,BK,Bakool,,,Oddur,,Africa/Mogadishu,0
51537,en,AF,Africa,SO,Somalia,,,,,,,Africa/Mogadishu,0
53654,en,AF,Africa,SO,Somalia,BN,Banaadir,,,Mogadishu,,Africa/Mogadishu,0
54225,en,AF,Africa,SO,Somalia,SH,"Lower Shabeelle",,,Merca,,Africa/Mogadishu,0
55671,en,AF,Africa,SO,Somalia,JH,"Lower Juba",,,Kismayo,,Africa/Mogadishu,0
57289,en,AF,Africa,SO,Somalia,WO,"Woqooyi Galbeed",,,Hargeisa,,Africa/Mogadishu,0
58933,en,AF,Africa,SO,Somalia,NU,Nugaal,,,Garoowe,,Africa/Mogadishu,0
58994,en,AF,Africa,SO,Somalia,GE,Gedo,,,Garbahaarrey,,Africa/Mogadishu,0
59611,en,AF,Africa,SO,Somalia,MU,Mudug,,,Gaalkacyo,,Africa/Mogadishu,0
60928,en,AF,Africa,SO,Somalia,GA,Galguduud,,,"Dusa Marreb",,Africa/Mogadishu,0
63795,en,AF,Africa,SO,Somalia,TO,Togdheer,,,Burao,,Africa/Mogadishu,0
64013,en,AF,Africa,SO,Somalia,BR,Bari,,,Bosaso,,Africa/Mogadishu,0
69543,en,AS,Asia,YE,Yemen,,,,,,,Asia/Aden,0
70223,en,AS,Asia,YE,Yemen,DH,"Dhamār",,,Ta`izz,,Asia/Aden,0
71132,en,AS,Asia,YE,Yemen,SN,Sanaa,,,,,Asia/Aden,0
71136,en,AS,Asia,YE,Yemen,HD,"Muhafazat Hadramawt",,,Sana',,Asia/Aden,0
71137,en,AS,Asia,YE,Yemen,SN,Sanaa,,,Sanaa,,Asia/Aden,0
74477,en,AS,Asia,YE,Yemen,IB,Ibb,,,Ibb,,Asia/Aden,0
75427,en,AS,Asia,YE,Yemen,SU,Soqatra,,,Hadibu,,Asia/Aden,0
77726,en,AS,Asia,YE,Yemen,SH,Shabwah,,,Ataq,,Asia/Aden,0
77843,en,AS,Asia,YE,Yemen,HU,"Al Hudaydah",,,"As Salif",,Asia/Aden,0
78751,en,AS,Asia,YE,Yemen,TA,"Ta‘izz",,,Mocha,,Asia/Aden,0
78754,en,AS,Asia,YE,Yemen,HD,"Muhafazat Hadramawt",,,Mukalla,,Asia/Aden,0
79415,en,AS,Asia,YE,Yemen,HU,"Al Hudaydah",,,"Al Hudaydah",,Asia/Aden,0
80384,en,AS,Asia,YE,Yemen,DA,"Aḑ Ḑāli‘",,,Dhalie,,Asia/Aden,0
81302,en,AF,Africa,LY,Libya,BU,"Al Butnan",,,Tobruk,,Africa/Tripoli,0
